['2022-02-02'],['77.1302']
['2022-02-03'],['76.4849']
['2022-02-04'],['76.6501']
['2022-02-05'],['76.0509']
['2022-02-08'],['75.6806']
['2022-02-09'],['75.3042']
['2022-02-10'],['74.8015']
['2022-02-11'],['74.7241']
['2022-02-12'],['74.9867']
['2022-02-15'],['76.5762']
['2022-02-16'],['76.166']
['2022-02-17'],['75.0141']
['2022-02-18'],['75.7527']
['2022-02-19'],['75.7619']
['2022-02-22'],['76.7671']
['2022-02-23'],['80.4194']
['2022-02-25'],['86.9288']
['2022-02-26'],['83.5485']
['2022-03-01'],['93.5589']
['2022-03-02'],['91.7457']
['2022-03-03'],['103.2487']
['2022-03-04'],['111.7564']
['2022-03-05'],['105.8124']
['2022-03-06'],['105.8124']
['2022-03-10'],['116.0847']
['2022-03-11'],['120.3785']
['2022-03-12'],['116.7517']
['2022-03-15'],['115.1963']
['2022-03-16'],['111.4823']
['2022-03-17'],['108.0521']
['2022-03-18'],['104.8012']
['2022-03-19'],['103.9524']
['2022-03-22'],['104.6819']
['2022-03-23'],['104.0741']
['2022-03-24'],['103.1618']
['2022-03-25'],['96.0458']
['2022-03-26'],['95.6618']
['2022-03-29'],['93.7125']
['2022-03-30'],['86.2843']
['2022-03-31'],['84.0851']
['2022-04-01'],['83.4097']
['2022-04-02'],['83.4285']
['2022-04-05'],['83.5932']
['2022-04-06'],['83.352']
['2022-04-07'],['82.5962']
['2022-04-08'],['76.2547']
['2022-04-09'],['74.8501']
['2022-04-12'],['79.1596']
['2022-04-13'],['79.6274']
['2022-04-14'],['79.8471']
['2022-04-15'],['81.288']
['2022-04-16'],['80.0437']
['2022-04-19'],['79.4529']
