Absolute path,Relative path,Class
D:\Lab on python\Lab-1-var-4\dataset\rose\0.jpg,dataset\rose\0.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\1.jpg,dataset\rose\1.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\2.jpg,dataset\rose\2.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\3.jpg,dataset\rose\3.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\4.jpg,dataset\rose\4.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\5.jpg,dataset\rose\5.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\6.jpg,dataset\rose\6.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\7.jpg,dataset\rose\7.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\8.jpg,dataset\rose\8.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\9.jpg,dataset\rose\9.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\10.jpg,dataset\rose\10.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\11.jpg,dataset\rose\11.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\12.jpg,dataset\rose\12.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\13.jpg,dataset\rose\13.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\14.jpg,dataset\rose\14.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\15.jpg,dataset\rose\15.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\16.jpg,dataset\rose\16.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\17.jpg,dataset\rose\17.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\18.jpg,dataset\rose\18.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\19.jpg,dataset\rose\19.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\20.jpg,dataset\rose\20.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\21.jpg,dataset\rose\21.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\22.jpg,dataset\rose\22.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\23.jpg,dataset\rose\23.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\24.jpg,dataset\rose\24.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\25.jpg,dataset\rose\25.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\26.jpg,dataset\rose\26.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\27.jpg,dataset\rose\27.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\28.jpg,dataset\rose\28.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\29.jpg,dataset\rose\29.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\30.jpg,dataset\rose\30.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\31.jpg,dataset\rose\31.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\32.jpg,dataset\rose\32.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\33.jpg,dataset\rose\33.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\34.jpg,dataset\rose\34.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\35.jpg,dataset\rose\35.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\36.jpg,dataset\rose\36.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\37.jpg,dataset\rose\37.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\38.jpg,dataset\rose\38.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\39.jpg,dataset\rose\39.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\40.jpg,dataset\rose\40.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\41.jpg,dataset\rose\41.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\42.jpg,dataset\rose\42.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\43.jpg,dataset\rose\43.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\44.jpg,dataset\rose\44.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\45.jpg,dataset\rose\45.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\46.jpg,dataset\rose\46.jpg,rose
