Дата,Температура
2008/01/10,-20
2008/01/11,-20
2008/01/12,-20
2008/01/13,-9
2008/01/14,-6
2008/01/15,-1
2008/01/16,-1
2008/01/17,-4
2008/01/18,-8
2008/01/19,-9
2008/01/20,-9
2008/01/21,-15
2008/01/22,-13
2008/01/23,-9
2008/01/24,-11
2008/01/25,-8
2008/01/26,-4
2008/01/27,-1
2008/01/28,-1
2008/01/29,-4
2008/01/30,-6
2008/01/31,-7
2008/02/1,-11
2008/02/2,-12
2008/02/3,-6
2008/02/4,-3
2008/02/5,-1
2008/02/6,-6
2008/02/7,-8
2008/02/8,-10
2008/02/9,-14
2008/02/10,-12
2008/02/11,-3
2008/02/12,-5
2008/02/13,-4
2008/02/14,-6
2008/02/15,-13
2008/02/16,-10
2008/02/17,-11
2008/02/18,-14
2008/02/19,-13
2008/02/20,-8
2008/02/21,-8
2008/02/22,-7
2008/02/23,+1
2008/02/24,+3
2008/02/25,0
2008/02/26,0
2008/02/27,+2
2008/02/28,+2
2008/02/29,+2
2008/03/1,+3
2008/03/2,+2
2008/03/3,+2
2008/03/4,+1
2008/03/5,+1
2008/03/6,+1
2008/03/7,+2
2008/03/8,+2
2008/03/9,+1
2008/03/10,-2
2008/03/11,0
2008/03/12,0
2008/03/13,+3
2008/03/14,+4
2008/03/15,+4
2008/03/16,0
2008/03/17,+2
2008/03/18,0
2008/03/19,+4
2008/03/20,+4
2008/03/21,+5
2008/03/22,+2
2008/03/23,+3
2008/03/24,+4
2008/03/25,+10
2008/03/26,+15
2008/03/27,+12
2008/03/28,+8
2008/03/29,+9
2008/03/30,+7
2008/03/31,+10
2008/04/1,+11
2008/04/2,+10
2008/04/3,+15
2008/04/4,+17
2008/04/5,+17
2008/04/6,+20
2008/04/7,+20
2008/04/8,+19
2008/04/9,+20
2008/04/10,+21
2008/04/11,+22
2008/04/12,+21
2008/04/13,+20
2008/04/14,+9
2008/04/15,+8
2008/04/16,+8
2008/04/17,+11
2008/04/18,+12
2008/04/19,+12
2008/04/20,+15
2008/04/21,+19
2008/04/22,+18
2008/04/23,+9
2008/04/24,+4
2008/04/25,+13
2008/04/26,+16
2008/04/27,+14
2008/04/28,+15
2008/04/29,+17
2008/04/30,+20
2008/05/1,+21
2008/05/2,+14
2008/05/3,+13
2008/05/4,+15
2008/05/5,+17
2008/05/6,+19
2008/05/7,+20
2008/05/8,+20
2008/05/9,+19
2008/05/10,+20
2008/05/11,+24
2008/05/12,+24
2008/05/13,+21
2008/05/14,+12
2008/05/15,+10
2008/05/16,+13
2008/05/17,+21
2008/05/18,+22
2008/05/19,+27
2008/05/20,+29
2008/05/21,+29
2008/05/22,+29
2008/05/23,+18
2008/05/24,+20
2008/05/25,+25
2008/05/26,+22
2008/05/27,+17
2008/05/28,+10
2008/05/29,+11
2008/05/30,+19
2008/05/31,+12
2008/06/1,+16
2008/06/2,+13
2008/06/3,+19
2008/06/4,+19
2008/06/5,+16
2008/06/6,+14
2008/06/7,+12
2008/06/8,+9
2008/06/9,+14
2008/06/10,+21
2008/06/11,+20
2008/06/12,+28
2008/06/13,+27
2008/06/14,+26
2008/06/15,+27
2008/06/16,+30
2008/06/17,+25
2008/06/18,+27
2008/06/19,+27
2008/06/20,+23
2008/06/21,+26
2008/06/22,+31
2008/06/23,+25
2008/06/24,+22
2008/06/25,+17
2008/06/26,+20
2008/06/27,+20
2008/06/28,+23
2008/06/29,+21
2008/06/30,+21
2008/07/1,+19
2008/07/2,+21
2008/07/3,+21
2008/07/4,+23
2008/07/5,+24
2008/07/6,+27
2008/07/7,+28
2008/07/8,+24
2008/07/9,+26
2008/07/10,+26
2008/07/11,+28
2008/07/12,+21
2008/07/13,+23
2008/07/14,+27
2008/07/15,+30
2008/07/16,+32
2008/07/17,+32
2008/07/18,+31
2008/07/19,+31
2008/07/20,+31
2008/07/21,+25
2008/07/22,+28
2008/07/23,+32
2008/07/24,+31
2008/07/25,+27
2008/07/26,+26
2008/07/27,+22
2008/07/28,+15
2008/07/29,+24
2008/07/30,+21
2008/07/31,+23
2008/08/1,+23
2008/08/2,+24
2008/08/3,+25
2008/08/4,+23
2008/08/5,+24
2008/08/6,+21
2008/08/7,+17
2008/08/8,+13
2008/08/9,+20
2008/08/10,+23
2008/08/11,+30
2008/08/12,+31
2008/08/13,+33
2008/08/14,+33
2008/08/15,+33
2008/08/16,+35
2008/08/17,+32
2008/08/18,+32
2008/08/19,+33
2008/08/20,+35
2008/08/21,+23
2008/08/22,+27
2008/08/23,+25
2008/08/24,+27
2008/08/25,+28
2008/08/26,+30
2008/08/27,+22
2008/08/28,+19
2008/08/29,+25
2008/08/30,+24
2008/08/31,+18
2008/09/1,+13
2008/09/2,+15
2008/09/3,+14
2008/09/4,+20
2008/09/5,+26
2008/09/6,+29
2008/09/7,+30
2008/09/8,+29
2008/09/9,+29
2008/09/10,+18
2008/09/11,+16
2008/09/12,+13
2008/09/13,+15
2008/09/14,+15
2008/09/15,+11
2008/09/16,+8
2008/09/17,+10
2008/09/18,+12
2008/09/19,+14
2008/09/20,+14
2008/09/21,+14
2008/09/22,+15
2008/09/23,+15
2008/09/24,+15
2008/09/25,+13
2008/09/26,+10
2008/09/27,+6
2008/09/28,+7
2008/09/29,+14
2008/09/30,+14
2008/10/1,+15
2008/10/2,+17
2008/10/3,+20
2008/10/4,+21
2008/10/5,+21
2008/10/6,+21
2008/10/7,+21
2008/10/8,+21
2008/10/9,+9
2008/10/10,+6
2008/10/11,+5
2008/10/12,+7
2008/10/13,+12
2008/10/14,+12
2008/10/15,+13
2008/10/16,+10
2008/10/17,+11
2008/10/18,+10
2008/10/19,+7
2008/10/20,+8
2008/10/21,+8
2008/10/22,+9
2008/10/23,+11
2008/10/24,+11
2008/10/25,+8
2008/10/26,+9
2008/10/27,+9
2008/10/28,+8
2008/10/29,+9
2008/10/30,+11
2008/10/31,+13
2008/11/1,+13
2008/11/2,+11
2008/11/3,+6
2008/11/4,+4
2008/11/5,+6
2008/11/6,+2
2008/11/7,-1
2008/11/8,-1
2008/11/9,+2
2008/11/10,+5
2008/11/11,+4
2008/11/12,+7
2008/11/13,+7
2008/11/14,+4
2008/11/15,+6
2008/11/16,+4
2008/11/17,+6
2008/11/18,+7
2008/11/19,+1
2008/11/20,0
2008/11/21,+4
2008/11/22,+7
2008/11/23,+10
2008/11/24,+4
2008/11/25,+1
2008/11/26,0
2008/11/27,+1
2008/11/28,+1
2008/11/29,+2
2008/11/30,+2
2008/12/1,+3
2008/12/2,+1
2008/12/3,+1
2008/12/4,0
2008/12/5,+2
2008/12/6,+2
2008/12/7,+4
2008/12/8,+5
2008/12/9,+3
2008/12/10,0
2008/12/11,0
2008/12/12,0
2008/12/13,-3
2008/12/14,-4
2008/12/15,-8
2008/12/16,-9
2008/12/17,-7
2008/12/18,-10
2008/12/19,-13
2008/12/20,-13
2008/12/21,-12
2008/12/22,-11
2008/12/23,-12
2008/12/24,-9
2008/12/25,-9
2008/12/26,-8
2008/12/27,-9
2008/12/28,-8
2008/12/29,-8
2008/12/30,-8
2008/12/31,-8
2009/01/1,-10
2009/01/2,-8
2009/01/3,-14
2009/01/4,-16
2009/01/5,-12
2009/01/6,-15
2009/01/7,-16
2009/01/8,-15
2009/01/9,-13
2009/01/10,-16
2009/01/11,-20
2009/01/12,-18
2009/01/13,-16
2009/01/14,-4
2009/01/15,-2
2009/01/16,-5
2009/01/17,-4
2009/01/18,-7
2009/01/19,-5
2009/01/20,-7
2009/01/21,-5
2009/01/22,-7
2009/01/23,-7
2009/01/24,-7
2009/01/25,-4
2009/01/26,-6
2009/01/27,-4
2009/01/28,-5
2009/01/29,-7
2009/01/30,-9
2009/01/31,-8
2009/02/1,-6
2009/02/2,-8
2009/02/3,-8
2009/02/4,-8
2009/02/5,-5
2009/02/6,-7
2009/02/7,-17
2009/02/8,-11
2009/02/9,-6
2009/02/10,-8
2009/02/11,-4
2009/02/12,-5
2009/02/13,-5
2009/02/14,-2
2009/02/15,-2
2009/02/16,-2
2009/02/17,-3
2009/02/18,-3
2009/02/19,-3
2009/02/20,-3
2009/02/21,-8
2009/02/22,-8
2009/02/23,-7
2009/02/24,-4
2009/02/25,-5
2009/02/26,-5
2009/02/27,-5
2009/02/28,-3
2009/03/1,+1
2009/03/2,-1
2009/03/3,-1
2009/03/4,+1
2009/03/5,0
2009/03/6,-2
2009/03/7,-2
2009/03/8,-3
2009/03/9,-3
2009/03/10,+1
2009/03/11,+1
2009/03/12,+1
2009/03/13,0
2009/03/14,-1
2009/03/15,-2
2009/03/16,+2
2009/03/17,+1
2009/03/18,+2
2009/03/19,+1
2009/03/20,+2
2009/03/21,+3
2009/03/22,+1
2009/03/23,-1
2009/03/24,-1
2009/03/25,+5
2009/03/26,+7
2009/03/27,+3
2009/03/28,+12
2009/03/29,+11
2009/03/30,+16
2009/03/31,+16
2009/04/1,+16
2009/04/2,+6
2009/04/3,+1
2009/04/4,+1
2009/04/5,+2
2009/04/6,+4
2009/04/7,+4
2009/04/8,+1
2009/04/9,0
2009/04/10,+2
2009/04/11,+6
2009/04/12,+7
2009/04/13,+9
2009/04/14,+9
2009/04/15,+12
2009/04/16,+14
2009/04/17,+3
2009/04/18,+16
2009/04/19,+2
2009/04/20,+3
2009/04/21,+4
2009/04/22,0
2009/04/23,+4
2009/04/24,+9
2009/04/25,+8
2009/04/26,+10
2009/04/27,+21
2009/04/28,+23
2009/04/29,+24
2009/04/30,+26
2009/05/1,+12
2009/05/2,+13
2009/05/3,+19
2009/05/4,+21
2009/05/5,+24
