absolute_path,relative_path,class
D:\python\dataset\leopard\0000.jpg,dataset\leopard\0000.jpg,leopard
D:\python\dataset\leopard\0001.jpg,dataset\leopard\0001.jpg,leopard
D:\python\dataset\leopard\0002.jpg,dataset\leopard\0002.jpg,leopard
D:\python\dataset\leopard\0003.jpg,dataset\leopard\0003.jpg,leopard
D:\python\dataset\leopard\0004.jpg,dataset\leopard\0004.jpg,leopard
D:\python\dataset\leopard\0005.jpg,dataset\leopard\0005.jpg,leopard
D:\python\dataset\leopard\0006.jpg,dataset\leopard\0006.jpg,leopard
D:\python\dataset\leopard\0007.jpg,dataset\leopard\0007.jpg,leopard
D:\python\dataset\leopard\0008.jpg,dataset\leopard\0008.jpg,leopard
D:\python\dataset\leopard\0009.jpg,dataset\leopard\0009.jpg,leopard
D:\python\dataset\leopard\0010.jpg,dataset\leopard\0010.jpg,leopard
D:\python\dataset\leopard\0011.jpg,dataset\leopard\0011.jpg,leopard
D:\python\dataset\leopard\0012.jpg,dataset\leopard\0012.jpg,leopard
D:\python\dataset\leopard\0013.jpg,dataset\leopard\0013.jpg,leopard
D:\python\dataset\leopard\0014.jpg,dataset\leopard\0014.jpg,leopard
D:\python\dataset\leopard\0015.jpg,dataset\leopard\0015.jpg,leopard
D:\python\dataset\leopard\0016.jpg,dataset\leopard\0016.jpg,leopard
D:\python\dataset\leopard\0017.jpg,dataset\leopard\0017.jpg,leopard
D:\python\dataset\leopard\0018.jpg,dataset\leopard\0018.jpg,leopard
D:\python\dataset\leopard\0019.jpg,dataset\leopard\0019.jpg,leopard
D:\python\dataset\leopard\0020.jpg,dataset\leopard\0020.jpg,leopard
D:\python\dataset\leopard\0021.jpg,dataset\leopard\0021.jpg,leopard
D:\python\dataset\leopard\0022.jpg,dataset\leopard\0022.jpg,leopard
D:\python\dataset\leopard\0023.jpg,dataset\leopard\0023.jpg,leopard
D:\python\dataset\leopard\0024.jpg,dataset\leopard\0024.jpg,leopard
D:\python\dataset\leopard\0025.jpg,dataset\leopard\0025.jpg,leopard
D:\python\dataset\leopard\0026.jpg,dataset\leopard\0026.jpg,leopard
D:\python\dataset\leopard\0027.jpg,dataset\leopard\0027.jpg,leopard
D:\python\dataset\leopard\0028.jpg,dataset\leopard\0028.jpg,leopard
D:\python\dataset\leopard\0029.jpg,dataset\leopard\0029.jpg,leopard
D:\python\dataset\leopard\0030.jpg,dataset\leopard\0030.jpg,leopard
D:\python\dataset\leopard\0031.jpg,dataset\leopard\0031.jpg,leopard
D:\python\dataset\leopard\0032.jpg,dataset\leopard\0032.jpg,leopard
D:\python\dataset\leopard\0033.jpg,dataset\leopard\0033.jpg,leopard
D:\python\dataset\leopard\0034.jpg,dataset\leopard\0034.jpg,leopard
D:\python\dataset\leopard\0035.jpg,dataset\leopard\0035.jpg,leopard
D:\python\dataset\leopard\0036.jpg,dataset\leopard\0036.jpg,leopard
D:\python\dataset\leopard\0037.jpg,dataset\leopard\0037.jpg,leopard
D:\python\dataset\leopard\0038.jpg,dataset\leopard\0038.jpg,leopard
D:\python\dataset\leopard\0039.jpg,dataset\leopard\0039.jpg,leopard
D:\python\dataset\leopard\0040.jpg,dataset\leopard\0040.jpg,leopard
D:\python\dataset\leopard\0041.jpg,dataset\leopard\0041.jpg,leopard
D:\python\dataset\leopard\0042.jpg,dataset\leopard\0042.jpg,leopard
D:\python\dataset\leopard\0043.jpg,dataset\leopard\0043.jpg,leopard
D:\python\dataset\leopard\0044.jpg,dataset\leopard\0044.jpg,leopard
D:\python\dataset\leopard\0045.jpg,dataset\leopard\0045.jpg,leopard
D:\python\dataset\leopard\0046.jpg,dataset\leopard\0046.jpg,leopard
D:\python\dataset\leopard\0047.jpg,dataset\leopard\0047.jpg,leopard
D:\python\dataset\leopard\0048.jpg,dataset\leopard\0048.jpg,leopard
D:\python\dataset\leopard\0049.jpg,dataset\leopard\0049.jpg,leopard
D:\python\dataset\leopard\0050.jpg,dataset\leopard\0050.jpg,leopard
D:\python\dataset\leopard\0051.jpg,dataset\leopard\0051.jpg,leopard
D:\python\dataset\leopard\0052.jpg,dataset\leopard\0052.jpg,leopard
D:\python\dataset\leopard\0053.jpg,dataset\leopard\0053.jpg,leopard
D:\python\dataset\leopard\0054.jpg,dataset\leopard\0054.jpg,leopard
