Absolute path,Relative path,Class
D:\Lab on python\Lab-1-var-4\rose_0000.jpg,dataset\rose_0000.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0001.jpg,dataset\rose_0001.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0002.jpg,dataset\rose_0002.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0003.jpg,dataset\rose_0003.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0004.jpg,dataset\rose_0004.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0005.jpg,dataset\rose_0005.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0006.jpg,dataset\rose_0006.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0007.jpg,dataset\rose_0007.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0008.jpg,dataset\rose_0008.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0009.jpg,dataset\rose_0009.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0010.jpg,dataset\rose_0010.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0011.jpg,dataset\rose_0011.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0012.jpg,dataset\rose_0012.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0013.jpg,dataset\rose_0013.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0014.jpg,dataset\rose_0014.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0015.jpg,dataset\rose_0015.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0016.jpg,dataset\rose_0016.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0017.jpg,dataset\rose_0017.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0018.jpg,dataset\rose_0018.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0019.jpg,dataset\rose_0019.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0020.jpg,dataset\rose_0020.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0021.jpg,dataset\rose_0021.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0022.jpg,dataset\rose_0022.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0023.jpg,dataset\rose_0023.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0024.jpg,dataset\rose_0024.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0025.jpg,dataset\rose_0025.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0026.jpg,dataset\rose_0026.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0027.jpg,dataset\rose_0027.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0028.jpg,dataset\rose_0028.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0029.jpg,dataset\rose_0029.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0030.jpg,dataset\rose_0030.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0031.jpg,dataset\rose_0031.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0032.jpg,dataset\rose_0032.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0033.jpg,dataset\rose_0033.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0034.jpg,dataset\rose_0034.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0035.jpg,dataset\rose_0035.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0036.jpg,dataset\rose_0036.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0037.jpg,dataset\rose_0037.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0038.jpg,dataset\rose_0038.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0039.jpg,dataset\rose_0039.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0040.jpg,dataset\rose_0040.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0041.jpg,dataset\rose_0041.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0042.jpg,dataset\rose_0042.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0043.jpg,dataset\rose_0043.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0044.jpg,dataset\rose_0044.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0045.jpg,dataset\rose_0045.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0046.jpg,dataset\rose_0046.jpg,rose
