absolute_path,relative_path,class
D:\new_folder_for_data\dataset\leopard_0000.jpg,..\new_folder_for_data\dataset\leopard_0000.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0001.jpg,..\new_folder_for_data\dataset\leopard_0001.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0002.jpg,..\new_folder_for_data\dataset\leopard_0002.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0003.jpg,..\new_folder_for_data\dataset\leopard_0003.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0004.jpg,..\new_folder_for_data\dataset\leopard_0004.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0005.jpg,..\new_folder_for_data\dataset\leopard_0005.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0006.jpg,..\new_folder_for_data\dataset\leopard_0006.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0007.jpg,..\new_folder_for_data\dataset\leopard_0007.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0008.jpg,..\new_folder_for_data\dataset\leopard_0008.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0009.jpg,..\new_folder_for_data\dataset\leopard_0009.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0010.jpg,..\new_folder_for_data\dataset\leopard_0010.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0011.jpg,..\new_folder_for_data\dataset\leopard_0011.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0012.jpg,..\new_folder_for_data\dataset\leopard_0012.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0013.jpg,..\new_folder_for_data\dataset\leopard_0013.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0014.jpg,..\new_folder_for_data\dataset\leopard_0014.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0015.jpg,..\new_folder_for_data\dataset\leopard_0015.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0016.jpg,..\new_folder_for_data\dataset\leopard_0016.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0017.jpg,..\new_folder_for_data\dataset\leopard_0017.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0018.jpg,..\new_folder_for_data\dataset\leopard_0018.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0019.jpg,..\new_folder_for_data\dataset\leopard_0019.jpg,leopard
D:\new_folder_for_data\dataset\leopard_0020.jpg,..\new_folder_for_data\dataset\leopard_0020.jpg,leopard
