Absolute Path,Relative Path,Class
K:\Pyth\PLab1\randomized_dataset\0009.jpg,randomized_dataset\0009.jpg,brown_bear
K:\Pyth\PLab1\randomized_dataset\0003.jpg,randomized_dataset\0003.jpg,brown_bear
K:\Pyth\PLab1\randomized_dataset\0008.jpg,randomized_dataset\0008.jpg,brown_bear
K:\Pyth\PLab1\randomized_dataset\0007.jpg,randomized_dataset\0007.jpg,brown_bear
K:\Pyth\PLab1\randomized_dataset\0001.jpg,randomized_dataset\0001.jpg,brown_bear
K:\Pyth\PLab1\randomized_dataset\0004.jpg,randomized_dataset\0004.jpg,polar_bear
K:\Pyth\PLab1\randomized_dataset\0005.jpg,randomized_dataset\0005.jpg,polar_bear
K:\Pyth\PLab1\randomized_dataset\0002.jpg,randomized_dataset\0002.jpg,polar_bear
K:\Pyth\PLab1\randomized_dataset\0006.jpg,randomized_dataset\0006.jpg,polar_bear
K:\Pyth\PLab1\randomized_dataset\0000.jpg,randomized_dataset\0000.jpg,polar_bear
